age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
-0.3972602739726028,-0.9113962048871925,0.6000000000000001,-0.956519565195652,-1.0,-0.20408163265306123
-0.09589041095890416,-0.9035248094972902,0.6000000000000001,-1.0,-1.0,-0.7551020408163265
-0.4246575342465754,-0.7237731082164056,0.06666666666666665,-1.0,-1.0,-0.20408163265306123
-0.013698630136986356,-0.6978633813721629,-0.19999999999999996,-1.0,-1.0,-0.20408163265306123
-0.6986301369863014,-0.5570231319867973,0.6000000000000001,-1.0,-1.0,-0.20408163265306123
-0.452054794520548,-0.6301367816248081,0.7333333333333334,-1.0,-1.0,-0.20408163265306123
-0.12328767123287676,-0.7991035166596487,-0.4666666666666667,-1.0,-1.0,-0.6938775510204082
-0.04109589041095896,-0.7319283899974192,0.06666666666666665,-1.0,-1.0,-0.10204081632653061
-0.6164383561643836,-0.9545021121690822,0.7333333333333334,-0.7183171831718318,-1.0,0.0
-0.31506849315068497,-0.8001059480311324,0.6000000000000001,-0.8964389643896439,-1.0,-0.20408163265306123
-0.452054794520548,-0.6357302943453634,0.19999999999999996,-1.0,-1.0,0.6122448979591837
-0.6438356164383562,-0.8247619565069749,0.6000000000000001,-1.0,-1.0,-0.20408163265306123
-0.8356164383561644,-0.8506037679466456,0.6000000000000001,-1.0,-1.0,-0.40816326530612246
-0.589041095890411,-0.7382078483041523,0.46666666666666656,-1.0,-1.0,0.0
-0.36986301369863017,-0.8512829219923663,0.33333333333333326,-1.0,-1.0,-0.20408163265306123
-0.5342465753424658,-0.6832398364597058,-0.6,-1.0,-1.0,-0.10204081632653061
-0.7808219178082192,-0.7765977098925578,0.06666666666666665,-1.0,-1.0,-0.30612244897959184
-0.589041095890411,-0.7629222640279268,0.06666666666666665,-1.0,-1.0,-0.20408163265306123
-0.4246575342465754,-0.9774493690658915,-0.19999999999999996,-1.0,-1.0,0.0
-0.28767123287671237,-0.6198231482864943,0.7333333333333334,-1.0,-1.0,-0.10204081632653061
-0.36986301369863017,-0.7538215998152701,1.0,-1.0,-1.0,0.20408163265306123
0.013698630136986356,-0.6062794583067331,0.06666666666666665,-1.0,-1.0,-0.6122448979591837
-0.5068493150684932,-0.9123076296165497,-0.4666666666666667,-1.0,-1.0,-0.20408163265306123
-0.28767123287671237,-0.8577145108053409,-0.19999999999999996,-1.0,-0.06244260789715339,-0.20408163265306123
0.15068493150684925,-0.868610858314883,0.06666666666666665,-1.0,-1.0,-0.20408163265306123
0.06849315068493156,-0.7221363469662189,0.6000000000000001,-1.0,-1.0,-0.20408163265306123
-0.9452054794520548,-0.7880917129623342,0.06666666666666665,-1.0,-1.0,-0.20408163265306123
0.013698630136986356,-0.7719047554366282,0.19999999999999996,-1.0,-1.0,0.20408163265306123
-0.3972602739726028,-0.5178345852406243,0.06666666666666665,-1.0,-1.0,0.6122448979591837
-0.12328767123287676,-0.7540362124937179,0.06666666666666665,-1.0,-1.0,-0.20408163265306123
-0.8356164383561644,-0.7576452370926774,0.46666666666666656,-1.0,-1.0,0.04081632653061229
-0.9178082191780822,-0.6553564879585987,0.19999999999999996,-1.0,-1.0,-0.12244897959183676
-0.23287671232876717,-0.49110308200105945,0.6000000000000001,-1.0,-0.3535353535353535,-0.20408163265306123
-0.6438356164383562,-0.935254886513359,0.19999999999999996,-1.0,-1.0,-0.20408163265306123
-0.863013698630137,-0.5935575447222938,0.19999999999999996,-1.0,-1.0,-0.7142857142857143
-0.15068493150684936,-0.6874247836894365,-0.19999999999999996,-1.0,-1.0,-0.20408163265306123
